Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-12-06,9.80,82355170,807080666.00,0.81,,4900.00
2016-12-07,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-08,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-09,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-12,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-13,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-14,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-15,9.80,82355170,807080666.00,0.81,0.00,0.00
2016-12-16,9.80,82355170,807080666.00,0.81,0.00,4900.00
2016-12-19,10.00,82355170,823551700.00,0.82,2.04,137000.00
2016-12-20,10.00,82355170,823551700.00,0.82,0.00,0.00
2016-12-21,10.00,82355170,823551700.00,0.82,0.00,0.00
2016-12-22,10.00,82355170,823551700.00,0.82,0.00,0.00
2016-12-23,10.04,82355170,826845906.80,0.83,0.40,464852.00
2016-12-27,10.04,82355170,826845906.80,0.83,0.00,0.00
2016-12-28,10.04,82355170,826845906.80,0.83,0.00,0.00
2016-12-29,10.04,82355170,826845906.80,0.83,0.00,0.00
2016-12-30,10.00,82355170,823551700.00,0.82,-0.40,152000.00
2017-01-03,10.04,82355170,826845906.80,0.83,0.40,28112.00
2017-01-04,10.04,82355170,826845906.80,0.83,0.00,7028.00
2017-01-05,10.04,82355170,826845906.80,0.83,0.00,0.00
2017-01-06,10.04,82355170,826845906.80,0.83,0.00,71284.00
2017-01-09,10.04,82355170,826845906.80,0.83,0.00,0.00
2017-01-10,10.04,82355170,826845906.80,0.83,0.00,0.00
2017-01-11,10.04,82355170,826845906.80,0.83,0.00,0.00
2017-01-12,10.25,82355170,844140492.50,0.84,2.09,7175.00
2017-01-13,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-17,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-18,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-19,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-20,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-23,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-24,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-25,10.25,82355170,844140492.50,0.84,0.00,0.00
2017-01-26,9.95,82355170,819433941.50,0.82,-2.93,10945.00
2017-01-27,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-01-30,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-01-31,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-01,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-02,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-03,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-06,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-07,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-08,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-09,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-10,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-13,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-14,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-15,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-16,9.95,82355170,819433941.50,0.82,0.00,32835.00
2017-02-17,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-21,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-22,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-23,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-24,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-27,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-02-28,9.95,82355170,819433941.50,0.82,0.00,0.00
2017-03-01,10.06,82355170,828493010.20,0.83,1.11,15090.00
2017-03-02,10.06,82355170,828493010.20,0.83,0.00,0.00
2017-03-03,10.05,82355170,827669458.50,0.83,-0.10,2010.00
2017-03-06,10.00,82355170,823551700.00,0.82,-0.50,1000.00
2017-03-07,10.00,82355170,823551700.00,0.82,0.00,0.00
2017-03-08,10.00,82355170,823551700.00,0.82,0.00,0.00
2017-03-09,10.00,82355170,823551700.00,0.82,0.00,0.00
2017-03-10,10.00,82355170,823551700.00,0.82,0.00,0.00
2017-03-13,10.00,82355170,823551700.00,0.82,0.00,0.00
2017-03-14,10.07,82355170,829316561.90,0.83,0.70,40280.00
2017-03-15,10.01,82355170,824375251.70,0.82,-0.60,104104.00
2017-03-16,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-03-17,10.07,82355170,829316561.90,0.83,0.60,8056.00
2017-03-20,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-21,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-22,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-23,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-24,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-27,10.07,82355170,829316561.90,0.83,0.00,64448.00
2017-03-28,10.07,82355170,829316561.90,0.83,0.00,178239.00
2017-03-29,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-30,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-03-31,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-04-03,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-04-04,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-04-05,10.07,82355170,829316561.90,0.83,0.00,0.00
2017-04-06,10.20,82355170,840022734.00,0.84,1.29,22440.00
2017-04-07,10.20,82355170,840022734.00,0.84,0.00,0.00
2017-04-10,10.09,82355170,830963665.30,0.83,-1.08,33297.00
2017-04-11,10.12,82355170,833434320.40,0.83,0.30,2530000.00
2017-04-12,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-13,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-17,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-18,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-19,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-20,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-21,10.12,82355170,833434320.40,0.83,0.00,3036.00
2017-04-24,10.12,82355170,833434320.40,0.83,0.00,0.00
2017-04-25,10.01,82355170,824375251.70,0.82,-1.09,31031.00
2017-04-26,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-04-27,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-04-28,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-01,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-02,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-03,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-04,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-05,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-08,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-09,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-10,10.01,82355170,824375251.70,0.82,0.00,8008.00
2017-05-11,10.01,82355170,824375251.70,0.82,0.00,25025.00
2017-05-12,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-15,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-16,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-17,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-18,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-19,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-22,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-23,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-24,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-25,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-26,10.01,82355170,824375251.70,0.82,0.00,0.00
2017-05-30,10.02,82355170,825198803.40,0.83,0.10,112224.00
2017-05-31,10.02,82355170,825198803.40,0.83,0.00,10020.00
2017-06-01,10.02,82355170,825198803.40,0.83,0.00,0.00
2017-06-02,10.02,82355170,825198803.40,0.83,0.00,49098.00
2017-06-05,10.03,82355170,826022355.10,0.83,0.10,2006.00
2017-06-06,10.03,82355170,826022355.10,0.83,0.00,0.00
2017-06-07,10.03,82355170,826022355.10,0.83,0.00,0.00
2017-06-08,10.03,82355170,826022355.10,0.83,0.00,0.00
2017-06-09,10.11,82355170,832610768.70,0.83,0.80,19209.00
