Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2021-04-14,9.75,216396992,2109870672.00,2.11,,20475.00
2021-04-15,9.75,216396992,2109870672.00,2.11,0.00,0.00
2021-04-16,9.82,216396992,2125018461.44,2.13,0.72,281834.00
2021-04-19,9.82,216396992,2125018461.44,2.13,0.00,76596.00
2021-04-20,9.82,216396992,2125018461.44,2.13,0.00,0.00
2021-04-21,9.83,216396992,2127182431.36,2.13,0.10,39320.00
2021-04-22,9.83,216396992,2127182431.36,2.13,0.00,0.00
2021-04-23,9.83,216396992,2127182431.36,2.13,0.00,0.00
2021-04-26,9.85,216396992,2131510371.20,2.13,0.20,272845.00
2021-04-27,9.90,216396992,2142330220.80,2.14,0.51,1041480.00
2021-04-28,9.90,216396992,2142330220.80,2.14,0.00,0.00
2021-04-29,9.79,216396992,2118526551.68,2.12,-1.11,207548.00
2021-04-30,9.78,216396992,2116362581.76,2.12,-0.10,2934.00
2021-05-03,9.82,216396992,2125018461.44,2.13,0.41,26514.00
2021-05-04,9.89,216396992,2140166250.88,2.14,0.71,31648.00
2021-05-05,9.78,216396992,2116362581.76,2.12,-1.11,1379958.00
2021-05-06,9.78,216396992,2116362581.76,2.12,0.00,37164.00
2021-05-07,9.74,216396992,2107706702.08,2.11,-0.41,1299316.00
2021-05-10,9.90,216396992,2142330220.80,2.14,1.64,143550.00
2021-05-11,9.76,216396992,2112034641.92,2.11,-1.41,39040.00
2021-05-12,9.78,216396992,2116362581.76,2.12,0.20,1316388.00
2021-05-13,9.77,216396992,2114198611.84,2.11,-0.10,2931.00
2021-05-14,9.77,216396992,2114198611.84,2.11,0.00,3908.00
2021-05-17,9.74,216396992,2107706702.08,2.11,-0.31,209410.00
2021-05-18,9.74,216396992,2107706702.08,2.11,0.00,3896.00
2021-05-19,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-05-20,9.70,216396992,2099050822.40,2.10,-0.41,1443360.00
2021-05-21,9.80,216396992,2120690521.60,2.12,1.03,16660.00
2021-05-24,9.80,216396992,2120690521.60,2.12,0.00,0.00
2021-05-25,9.74,216396992,2107706702.08,2.11,-0.61,7792.00
2021-05-26,9.74,216396992,2107706702.08,2.11,0.00,9740.00
2021-05-27,9.74,216396992,2107706702.08,2.11,0.00,31168.00
2021-05-28,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-06-01,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-06-02,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-06-03,9.75,216396992,2109870672.00,2.11,0.10,48750.00
2021-06-04,9.76,216396992,2112034641.92,2.11,0.10,1952000.00
2021-06-07,9.76,216396992,2112034641.92,2.11,0.00,0.00
2021-06-08,9.76,216396992,2112034641.92,2.11,0.00,0.00
2021-06-09,9.76,216396992,2112034641.92,2.11,0.00,0.00
2021-06-10,9.78,216396992,2116362581.76,2.12,0.20,1977516.00
2021-06-11,9.77,216396992,2114198611.84,2.11,-0.10,32241.00
2021-06-14,9.78,216396992,2116362581.76,2.12,0.10,187776.00
2021-06-15,9.72,216396992,2103378762.24,2.10,-0.61,682344.00
2021-06-16,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-06-17,9.71,216396992,2101214792.32,2.10,-0.10,399081.00
2021-06-18,9.73,216396992,2105542732.16,2.11,0.21,11676.00
2021-06-21,9.71,216396992,2101214792.32,2.10,-0.21,22333.00
2021-06-22,9.73,216396992,2105542732.16,2.11,0.21,37947.00
2021-06-23,9.72,216396992,2103378762.24,2.10,-0.10,26244.00
2021-06-24,9.69,216396992,2096886852.48,2.10,-0.31,273258.00
2021-06-25,9.76,216396992,2112034641.92,2.11,0.72,85888.00
2021-06-28,9.74,216396992,2107706702.08,2.11,-0.20,471416.00
2021-06-29,9.72,216396992,2103378762.24,2.10,-0.21,621108.00
2021-06-30,9.74,216396992,2107706702.08,2.11,0.21,43830.00
2021-07-01,9.74,216396992,2107706702.08,2.11,0.00,69154.00
2021-07-02,9.72,216396992,2103378762.24,2.10,-0.21,84564.00
2021-07-06,9.66,216396992,2090394942.72,2.09,-0.62,511014.00
2021-07-07,9.68,216396992,2094722882.56,2.09,0.21,144232.00
2021-07-08,9.68,216396992,2094722882.56,2.09,0.00,293304.00
2021-07-09,9.70,216396992,2099050822.40,2.10,0.21,72750.00
2021-07-12,9.72,216396992,2103378762.24,2.10,0.21,132192.00
2021-07-13,9.72,216396992,2103378762.24,2.10,0.00,158436.00
2021-07-14,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-07-15,9.74,216396992,2107706702.08,2.11,0.21,54544.00
2021-07-16,9.76,216396992,2112034641.92,2.11,0.21,37088.00
2021-07-19,9.76,216396992,2112034641.92,2.11,0.00,976.00
2021-07-20,9.72,216396992,2103378762.24,2.10,-0.41,102060.00
2021-07-21,9.72,216396992,2103378762.24,2.10,0.00,972.00
2021-07-22,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-07-23,9.72,216396992,2103378762.24,2.10,0.00,972.00
2021-07-26,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-07-27,9.74,216396992,2107706702.08,2.11,0.21,1130814.00
2021-07-28,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-07-29,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-07-30,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-08-02,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-08-03,9.74,216396992,2107706702.08,2.11,0.00,0.00
2021-08-04,9.72,216396992,2103378762.24,2.10,-0.21,131220.00
2021-08-05,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-08-06,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-08-09,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-08-10,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-08-11,9.72,216396992,2103378762.24,2.10,0.00,0.00
2021-08-12,9.70,216396992,2099050822.40,2.10,-0.21,970.00
2021-08-13,9.70,216396992,2099050822.40,2.10,0.00,970.00
2021-08-16,9.73,216396992,2105542732.16,2.11,0.31,5838.00
2021-08-17,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-08-18,9.65,216396992,2088230972.80,2.09,-0.82,2895.00
2021-08-19,9.65,216396992,2088230972.80,2.09,0.00,0.00
2021-08-20,9.65,216396992,2088230972.80,2.09,0.00,0.00
2021-08-23,9.65,216396992,2088230972.80,2.09,0.00,153435.00
2021-08-24,9.65,216396992,2088230972.80,2.09,0.00,0.00
2021-08-25,9.65,216396992,2088230972.80,2.09,0.00,965000.00
2021-08-26,9.71,216396992,2101214792.32,2.10,0.62,7768.00
2021-08-27,9.71,216396992,2101214792.32,2.10,0.00,0.00
2021-08-30,9.69,216396992,2096886852.48,2.10,-0.21,31977.00
2021-08-31,9.72,216396992,2103378762.24,2.10,0.31,28188.00
2021-09-01,9.72,216396992,2103378762.24,2.10,0.00,8748.00
2021-09-02,9.69,216396992,2096886852.48,2.10,-0.31,54264.00
2021-09-03,9.72,216396992,2103378762.24,2.10,0.31,34992.00
2021-09-07,9.68,216396992,2094722882.56,2.09,-0.41,157784.00
2021-09-08,9.70,216396992,2099050822.40,2.10,0.21,243470.00
2021-09-09,9.70,216396992,2099050822.40,2.10,0.00,0.00
2021-09-10,9.73,216396992,2105542732.16,2.11,0.31,97300.00
2021-09-13,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-09-14,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-09-15,9.77,216396992,2114198611.84,2.11,0.41,115286.00
2021-09-16,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-09-17,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-09-20,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-09-21,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-09-22,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-09-23,9.67,216396992,2092558912.64,2.09,-1.02,839356.00
2021-09-24,9.72,216396992,2103378762.24,2.10,0.52,151632.00
2021-09-27,9.72,216396992,2103378762.24,2.10,0.00,8748.00
2021-09-28,9.71,216396992,2101214792.32,2.10,-0.10,630179.00
2021-09-29,9.71,216396992,2101214792.32,2.10,0.00,387429.00
2021-09-30,9.71,216396992,2101214792.32,2.10,0.00,68941.00
2021-10-01,9.74,216396992,2107706702.08,2.11,0.31,64284.00
2021-10-04,9.73,216396992,2105542732.16,2.11,-0.10,16541.00
2021-10-05,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-10-06,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-10-07,9.76,216396992,2112034641.92,2.11,0.31,7808.00
2021-10-08,9.76,216396992,2112034641.92,2.11,0.00,4880.00
2021-10-11,9.76,216396992,2112034641.92,2.11,0.00,0.00
2021-10-12,9.73,216396992,2105542732.16,2.11,-0.31,382389.00
2021-10-13,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-10-14,9.73,216396992,2105542732.16,2.11,0.00,252007.00
2021-10-15,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-10-18,9.73,216396992,2105542732.16,2.11,0.00,0.00
2021-10-19,9.73,216396992,2105542732.16,2.11,0.00,421309.00
2021-10-20,9.72,216396992,2103378762.24,2.10,-0.10,2916.00
2021-10-21,9.72,216396992,2103378762.24,2.10,0.00,136080.00
2021-10-22,9.75,216396992,2109870672.00,2.11,0.31,104325.00
2021-10-25,9.74,216396992,2107706702.08,2.11,-0.10,245448.00
2021-10-26,9.74,216396992,2107706702.08,2.11,0.00,294148.00
2021-10-27,9.73,216396992,2105542732.16,2.11,-0.10,76867.00
2021-10-28,9.74,216396992,2107706702.08,2.11,0.10,4870.00
2021-10-29,9.74,216396992,2107706702.08,2.11,0.00,261032.00
2021-11-01,9.75,216396992,2109870672.00,2.11,0.10,283725.00
2021-11-02,9.75,216396992,2109870672.00,2.11,0.00,1014975.00
2021-11-03,9.73,216396992,2105542732.16,2.11,-0.21,2919.00
2021-11-04,9.75,216396992,2109870672.00,2.11,0.21,217425.00
2021-11-05,9.75,216396992,2109870672.00,2.11,0.00,101400.00
2021-11-08,9.75,216396992,2109870672.00,2.11,0.00,975000.00
2021-11-09,9.76,216396992,2112034641.92,2.11,0.10,50752.00
2021-11-10,9.77,216396992,2114198611.84,2.11,0.10,75229.00
2021-11-11,9.75,216396992,2109870672.00,2.11,-0.20,2452125.00
2021-11-12,9.75,216396992,2109870672.00,2.11,0.00,1950.00
2021-11-15,9.75,216396992,2109870672.00,2.11,0.00,6825.00
2021-11-16,9.78,216396992,2116362581.76,2.12,0.31,1460154.00
2021-11-17,9.78,216396992,2116362581.76,2.12,0.00,4890.00
2021-11-18,9.77,216396992,2114198611.84,2.11,-0.10,345858.00
2021-11-19,9.76,216396992,2112034641.92,2.11,-0.10,245952.00
2021-11-22,9.77,216396992,2114198611.84,2.11,0.10,1381478.00
2021-11-23,9.77,216396992,2114198611.84,2.11,0.00,61551.00
2021-11-24,9.77,216396992,2114198611.84,2.11,0.00,0.00
2021-11-26,9.76,216396992,2112034641.92,2.11,-0.10,976.00
2021-11-29,9.76,216396992,2112034641.92,2.11,0.00,1949072.00
2021-11-30,9.77,216396992,2114198611.84,2.11,0.10,180745.00
2021-12-01,9.76,216396992,2112034641.92,2.11,-0.10,616832.00
2021-12-02,10.58,216396992,2289480175.36,2.29,8.40,1040924938.00
2021-12-03,11.90,216396992,2575124204.80,2.58,12.48,565674830.00
2021-12-06,12.70,216396992,2748241798.40,2.75,6.72,978860120.00
2021-12-07,13.12,216396992,2839128535.04,2.84,3.31,375465536.00
2021-12-08,14.99,216396992,3243790910.08,3.24,14.25,480975136.00
2021-12-09,13.58,216396992,2938671151.36,2.94,-9.41,202290396.00
2021-12-10,13.47,216396992,2914867482.24,2.91,-0.81,63482763.00
2021-12-13,11.70,216396992,2531844806.40,2.53,-13.14,60462090.00
2021-12-14,11.26,216396992,2436630129.92,2.44,-3.76,81516770.00
2021-12-15,12.50,216396992,2704962400.00,2.70,11.01,138215000.00
2021-12-16,11.86,216396992,2566468325.12,2.57,-5.12,34354862.00
2021-12-17,12.04,216396992,2605419783.68,2.61,1.52,37010960.00
2021-12-20,11.95,216396992,2585944054.40,2.59,-0.75,25378215.00
2021-12-21,11.67,216396992,2525352896.64,2.53,-2.34,22384227.00
2021-12-22,11.60,216396992,2510205107.20,2.51,-0.60,33135400.00
2021-12-23,11.70,216396992,2531844806.40,2.53,0.86,21022560.00
2021-12-27,11.27,216396992,2438794099.84,2.44,-3.68,20150760.00
2021-12-28,11.06,216396992,2393350731.52,2.39,-1.86,15760500.00
2021-12-29,10.73,216396992,2321939724.16,2.32,-2.98,17637974.00
2021-12-30,10.86,216396992,2350071333.12,2.35,1.21,12828918.00
2021-12-31,10.83,216396992,2343579423.36,2.34,-0.28,20157879.00
2022-01-03,11.25,216396992,2434466160.00,2.43,3.88,24931125.00
2022-01-04,11.48,216396992,2484237468.16,2.48,2.04,20137068.00
2022-01-05,11.92,216396992,2579452144.64,2.58,3.83,52537400.00
2022-01-06,12.17,216396992,2633551392.64,2.63,2.10,53524877.00
2022-01-07,11.62,216396992,2514533047.04,2.51,-4.52,22980874.00
2022-01-10,12.09,216396992,2616239633.28,2.62,4.04,41634333.00
2022-01-11,12.15,216396992,2629223452.80,2.63,0.50,55909440.00
2022-01-12,12.73,216396992,2754733708.16,2.75,4.77,83176547.00
2022-01-13,12.33,216396992,2668174911.36,2.67,-3.14,28208574.00
2022-01-14,12.30,216396992,2661683001.60,2.66,-0.24,47427570.00
2022-01-18,12.90,216396992,2791521196.80,2.79,4.88,106339860.00
2022-01-19,12.62,216396992,2730930039.04,2.73,-2.17,51800052.00
