Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,11.50,1549202,17815823.00,0.02,,1150.00
2000-01-04,11.50,1549202,17815823.00,0.02,0.00,11500.00
2000-01-05,11.50,1549202,17815823.00,0.02,0.00,11500.00
2000-01-06,11.38,1549202,17629918.76,0.02,-1.04,58038.00
2000-01-07,11.50,1549202,17815823.00,0.02,1.05,17250.00
2000-01-10,11.31,1549202,17521474.62,0.02,-1.65,6786.00
2000-01-11,11.25,1549202,17428522.50,0.02,-0.53,11250.00
2000-01-12,11.31,1549202,17521474.62,0.02,0.53,4524.00
2000-01-13,11.12,1549202,17227126.24,0.02,-1.68,86736.00
2000-01-14,11.19,1549202,17335570.38,0.02,0.63,34689.00
2000-01-18,11.19,1549202,17335570.38,0.02,0.00,0.00
2000-01-19,11.06,1549202,17134174.12,0.02,-1.16,4424.00
2000-01-20,11.06,1549202,17134174.12,0.02,0.00,0.00
2000-01-21,11.12,1549202,17227126.24,0.02,0.54,4448.00
2000-01-24,11.25,1549202,17428522.50,0.02,1.17,78750.00
2000-01-25,11.12,1549202,17227126.24,0.02,-1.16,4448.00
2000-01-26,11.12,1549202,17227126.24,0.02,0.00,52264.00
2000-01-27,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-01-28,11.12,1549202,17227126.24,0.02,0.00,21128.00
2000-01-31,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-02-01,11.25,1549202,17428522.50,0.02,1.17,5625.00
2000-02-02,11.12,1549202,17227126.24,0.02,-1.16,5560.00
2000-02-03,11.12,1549202,17227126.24,0.02,0.00,56712.00
2000-02-04,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-02-07,11.12,1549202,17227126.24,0.02,0.00,20016.00
2000-02-08,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-02-09,10.88,1549202,16855317.76,0.02,-2.16,243712.00
2000-02-10,10.88,1549202,16855317.76,0.02,0.00,0.00
2000-02-11,10.75,1549202,16653921.50,0.02,-1.19,2150.00
2000-02-14,10.75,1549202,16653921.50,0.02,0.00,0.00
2000-02-15,10.75,1549202,16653921.50,0.02,0.00,0.00
2000-02-16,10.75,1549202,16653921.50,0.02,0.00,6450.00
2000-02-17,10.75,1549202,16653921.50,0.02,0.00,0.00
2000-02-18,10.75,1549202,16653921.50,0.02,0.00,11825.00
2000-02-22,11.00,1549202,17041222.00,0.02,2.33,22000.00
2000-02-23,10.75,1549202,16653921.50,0.02,-2.27,1075.00
2000-02-24,10.75,1549202,16653921.50,0.02,0.00,6450.00
2000-02-25,11.12,1549202,17227126.24,0.02,3.44,66720.00
2000-02-28,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-02-29,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-01,11.00,1549202,17041222.00,0.02,-1.08,11000.00
2000-03-02,11.38,1549202,17629918.76,0.02,3.45,15932.00
2000-03-03,11.50,1549202,17815823.00,0.02,1.05,16100.00
2000-03-06,11.00,1549202,17041222.00,0.02,-4.35,123200.00
2000-03-07,11.00,1549202,17041222.00,0.02,0.00,15400.00
2000-03-08,11.00,1549202,17041222.00,0.02,0.00,5500.00
2000-03-09,11.00,1549202,17041222.00,0.02,0.00,0.00
2000-03-10,11.00,1549202,17041222.00,0.02,0.00,150700.00
2000-03-13,11.12,1549202,17227126.24,0.02,1.09,36696.00
2000-03-14,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-15,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-16,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-17,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-20,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-21,11.12,1549202,17227126.24,0.02,0.00,5560.00
2000-03-22,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-23,11.12,1549202,17227126.24,0.02,0.00,72280.00
2000-03-24,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-03-27,11.00,1549202,17041222.00,0.02,-1.08,2200.00
2000-03-28,11.00,1549202,17041222.00,0.02,0.00,0.00
2000-03-29,11.00,1549202,17041222.00,0.02,0.00,0.00
2000-03-30,11.00,1549202,17041222.00,0.02,0.00,0.00
2000-03-31,11.25,1549202,17428522.50,0.02,2.27,14625.00
2000-04-03,11.25,1549202,17428522.50,0.02,0.00,0.00
2000-04-04,11.25,1549202,17428522.50,0.02,0.00,0.00
2000-04-05,11.12,1549202,17227126.24,0.02,-1.16,729472.00
2000-04-06,11.12,1549202,17227126.24,0.02,0.00,11120.00
2000-04-07,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-04-10,11.00,1549202,17041222.00,0.02,-1.08,13200.00
2000-04-11,11.12,1549202,17227126.24,0.02,1.09,7784.00
2000-04-12,11.00,1549202,17041222.00,0.02,-1.08,11000.00
2000-04-13,11.00,1549202,17041222.00,0.02,0.00,0.00
2000-04-14,11.00,1549202,17041222.00,0.02,0.00,8800.00
2000-04-17,11.12,1549202,17227126.24,0.02,1.09,16680.00
2000-04-18,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-04-19,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-04-20,11.00,1549202,17041222.00,0.02,-1.08,15400.00
2000-04-24,11.12,1549202,17227126.24,0.02,1.09,16680.00
2000-04-25,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-04-26,11.00,1549202,17041222.00,0.02,-1.08,3300.00
2000-04-27,11.00,1549202,17041222.00,0.02,0.00,2200.00
2000-04-28,11.12,1549202,17227126.24,0.02,1.09,6672.00
2000-05-01,11.88,1549202,18404519.76,0.02,6.83,76032.00
2000-05-02,12.12,1549202,18776328.24,0.02,2.02,93324.00
2000-05-03,11.88,1549202,18404519.76,0.02,-1.98,2376.00
2000-05-04,11.88,1549202,18404519.76,0.02,0.00,0.00
2000-05-05,11.50,1549202,17815823.00,0.02,-3.20,17250.00
2000-05-08,11.12,1549202,17227126.24,0.02,-3.30,182368.00
2000-05-09,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-05-10,11.25,1549202,17428522.50,0.02,1.17,58500.00
2000-05-11,11.25,1549202,17428522.50,0.02,0.00,10125.00
2000-05-12,12.00,1549202,18590424.00,0.02,6.67,51600.00
2000-05-15,12.00,1549202,18590424.00,0.02,0.00,0.00
2000-05-16,12.00,1549202,18590424.00,0.02,0.00,44400.00
2000-05-17,12.00,1549202,18590424.00,0.02,0.00,0.00
2000-05-18,12.00,1549202,18590424.00,0.02,0.00,0.00
2000-05-19,11.50,1549202,17815823.00,0.02,-4.17,16100.00
2000-05-22,11.50,1549202,17815823.00,0.02,0.00,0.00
2000-05-23,11.38,1549202,17629918.76,0.02,-1.04,22760.00
2000-05-24,11.50,1549202,17815823.00,0.02,1.05,23000.00
2000-05-25,11.50,1549202,17815823.00,0.02,0.00,0.00
2000-05-26,11.50,1549202,17815823.00,0.02,0.00,0.00
2000-05-30,11.50,1549202,17815823.00,0.02,0.00,0.00
2000-05-31,11.12,1549202,17227126.24,0.02,-3.30,5560.00
2000-06-01,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-06-02,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-06-05,11.12,1549202,17227126.24,0.02,0.00,0.00
2000-06-06,11.12,1549202,17227126.24,0.02,0.00,0.00
