Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2019-02-26,90720.00,15445910400,1401252991488000.00,1401252.99,,13517280.00
2019-02-27,79392.00,15445910400,1226281718476800.00,1226281.72,-12.49,2778720.00
2019-02-28,81792.00,15445910400,1263351903436800.00,1263351.90,3.02,1881216.00
2019-03-01,86304.00,15445910400,1333043851161600.00,1333043.85,5.52,1639776.00
2019-03-04,89280.00,15445910400,1379010880512000.00,1379010.88,3.45,1696320.00
2019-03-05,89280.00,15445910400,1379010880512000.00,1379010.88,0.00,1071360.00
2019-03-06,83424.00,15445910400,1288559629209600.00,1288559.63,-6.56,1084512.00
2019-03-07,79392.00,15445910400,1226281718476800.00,1226281.72,-4.83,396960.00
2019-03-08,77952.00,15445910400,1204039607500800.00,1204039.61,-1.81,467712.00
2019-03-11,81408.00,15445910400,1257420673843200.00,1257420.67,4.43,569856.00
2019-03-12,77280.00,15445910400,1193659955712000.00,1193659.96,-5.07,309120.00
2019-03-13,68160.00,15445910400,1052793252864000.00,1052793.25,-11.80,886080.00
2019-03-14,66048.00,15445910400,1020171490099200.00,1020171.49,-3.10,990720.00
2019-03-15,64800.00,15445910400,1000894993920000.00,1000894.99,-1.89,907200.00
2019-03-18,62400.00,15445910400,963824808960000.00,963824.81,-3.70,811200.00
2019-03-19,68640.00,15445910400,1060207289856000.00,1060207.29,10.00,1304160.00
2019-03-20,79584.00,15445910400,1229247333273600.00,1229247.33,15.94,2307936.00
2019-03-21,78048.00,15445910400,1205522414899200.00,1205522.41,-1.93,858528.00
2019-03-22,78816.00,15445910400,1217384874086400.00,1217384.87,0.98,472896.00
2019-03-25,74112.00,15445910400,1144727311564800.00,1144727.31,-5.97,444672.00
2019-03-26,69600.00,15445910400,1075035363840000.00,1075035.36,-6.09,417600.00
2019-03-27,71040.00,15445910400,1097277474816000.00,1097277.47,2.07,213120.00
2019-03-28,78048.00,15445910400,1205522414899200.00,1205522.41,9.86,1014624.00
2019-03-29,77280.00,15445910400,1193659955712000.00,1193659.96,-0.98,540960.00
2019-04-01,74016.00,15445910400,1143244504166400.00,1143244.50,-4.22,296064.00
2019-04-02,73536.00,15445910400,1135830467174400.00,1135830.47,-0.65,294144.00
2019-04-03,67968.00,15445910400,1049827638067200.00,1049827.64,-7.57,1359360.00
2019-04-04,64320.00,15445910400,993480956928000.00,993480.96,-5.37,514560.00
2019-04-05,66048.00,15445910400,1020171490099200.00,1020171.49,2.69,594432.00
2019-04-08,64704.00,15445910400,999412186521600.00,999412.19,-2.03,258816.00
2019-04-09,63936.00,15445910400,987549727334400.00,987549.73,-1.19,511488.00
