Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2023-11-27,10.07,6236713,62803699.91,0.06,,15105.00
2023-11-28,10.12,6236713,63115535.56,0.06,0.50,4779676.00
2023-11-29,10.12,6236713,63115535.56,0.06,0.00,408848.00
2023-11-30,10.12,6236713,63115535.56,0.06,0.00,0.00
2023-12-01,10.12,6236713,63115535.56,0.06,0.00,0.00
2023-12-04,10.12,6236713,63115535.56,0.06,0.00,0.00
2023-12-05,10.12,6236713,63115535.56,0.06,0.00,2775916.00
2023-12-06,10.12,6236713,63115535.56,0.06,0.00,301576.00
2023-12-07,10.12,6236713,63115535.56,0.06,0.00,0.00
2023-12-08,10.12,6236713,63115535.56,0.06,0.00,34408.00
2023-12-11,10.12,6236713,63115535.56,0.06,0.00,0.00
2023-12-12,10.13,6236713,63177902.69,0.06,0.10,180314.00
2023-12-13,10.13,6236713,63177902.69,0.06,0.00,0.00
2023-12-14,10.13,6236713,63177902.69,0.06,0.00,274523.00
2023-12-15,10.12,6236713,63115535.56,0.06,-0.10,396704.00
2023-12-18,10.12,6236713,63115535.56,0.06,0.00,488796.00
2023-12-19,10.13,6236713,63177902.69,0.06,0.10,306939.00
2023-12-20,10.13,6236713,63177902.69,0.06,0.00,0.00
2023-12-21,10.13,6236713,63177902.69,0.06,0.00,0.00
2023-12-22,10.13,6236713,63177902.69,0.06,0.00,0.00
2023-12-26,10.13,6236713,63177902.69,0.06,0.00,577410.00
2023-12-27,10.14,6236713,63240269.82,0.06,0.10,1340508.00
2023-12-28,10.14,6236713,63240269.82,0.06,0.00,0.00
2023-12-29,10.14,6236713,63240269.82,0.06,0.00,1014.00
2024-01-02,10.16,6236713,63365004.08,0.06,0.20,258064.00
2024-01-03,10.17,6236713,63427371.21,0.06,0.10,1017.00
2024-01-04,10.17,6236713,63427371.21,0.06,0.00,0.00
2024-01-05,10.17,6236713,63427371.21,0.06,0.00,0.00
2024-01-08,10.17,6236713,63427371.21,0.06,0.00,808515.00
2024-01-09,10.17,6236713,63427371.21,0.06,0.00,0.00
2024-01-10,10.17,6236713,63427371.21,0.06,0.00,1017.00
2024-01-11,10.19,6236713,63552105.47,0.06,0.20,9171.00
