Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2026-02-27,9.88,18018529,178023066.52,0.18,,2003664.00
2026-03-02,9.88,18018529,178023066.52,0.18,0.00,15403908.00
2026-03-03,9.88,18018529,178023066.52,0.18,0.00,6816212.00
2026-03-04,9.88,18018529,178023066.52,0.18,0.00,4971616.00
2026-03-05,9.88,18018529,178023066.52,0.18,0.00,658008.00
2026-03-06,9.88,18018529,178023066.52,0.18,0.00,0.00
2026-03-09,9.88,18018529,178023066.52,0.18,0.00,4912336.00
2026-03-10,9.87,18018529,177842881.23,0.18,-0.10,1546629.00
2026-03-11,9.87,18018529,177842881.23,0.18,0.00,5140296.00
2026-03-12,9.87,18018529,177842881.23,0.18,0.00,943572.00
2026-03-13,9.86,18018529,177662695.94,0.18,-0.10,4167822.00
2026-03-16,9.87,18018529,177842881.23,0.18,0.10,1112349.00
2026-03-17,9.86,18018529,177662695.94,0.18,-0.10,952476.00
2026-03-18,9.87,18018529,177842881.23,0.18,0.10,137193.00
2026-03-19,9.88,18018529,178023066.52,0.18,0.10,247988.00
2026-03-20,9.90,18018529,178383437.10,0.18,0.20,637560.00
2026-03-23,9.89,18018529,178203251.81,0.18,-0.10,94944.00
2026-03-24,9.89,18018529,178203251.81,0.18,0.00,78131.00
2026-03-25,9.90,18018529,178383437.10,0.18,0.10,2102760.00
2026-03-26,9.87,18018529,177842881.23,0.18,-0.30,729393.00
2026-03-27,9.88,18018529,178023066.52,0.18,0.10,3375996.00
2026-03-30,9.89,18018529,178203251.81,0.18,0.10,8901.00
2026-03-31,9.90,18018529,178383437.10,0.18,0.10,3960.00
2026-04-01,9.90,18018529,178383437.10,0.18,0.00,2970.00
2026-04-02,9.90,18018529,178383437.10,0.18,0.00,1980.00
2026-04-06,9.89,18018529,178203251.81,0.18,-0.10,38571.00
2026-04-07,9.91,18018529,178563622.39,0.18,0.20,578744.00
2026-04-08,9.91,18018529,178563622.39,0.18,0.00,991.00
2026-04-09,9.91,18018529,178563622.39,0.18,0.00,31712.00
2026-04-10,9.92,18018529,178743807.68,0.18,0.10,2976.00
2026-04-13,9.92,18018529,178743807.68,0.18,0.00,248000.00
2026-04-14,9.92,18018529,178743807.68,0.18,0.00,9920.00
2026-04-15,9.91,18018529,178563622.39,0.18,-0.10,43604.00
2026-04-16,9.92,18018529,178743807.68,0.18,0.10,590240.00
2026-04-17,9.92,18018529,178743807.68,0.18,0.00,2976.00
2026-04-20,9.91,18018529,178563622.39,0.18,-0.10,282435.00
2026-04-21,9.92,18018529,178743807.68,0.18,0.10,4960.00
2026-04-22,9.91,18018529,178563622.39,0.18,-0.10,23784.00
2026-04-23,9.92,18018529,178743807.68,0.18,0.10,913632.00
2026-04-24,9.92,18018529,178743807.68,0.18,0.00,2550432.00
2026-04-27,9.94,18018529,179104178.26,0.18,0.20,1283254.00
2026-04-28,9.94,18018529,179104178.26,0.18,0.00,2982.00
2026-04-29,9.93,18018529,178923992.97,0.18,-0.10,358473.00
2026-04-30,9.91,18018529,178563622.39,0.18,-0.20,32703.00
2026-05-01,9.91,18018529,178563622.39,0.18,0.00,0.00
2026-05-04,9.94,18018529,179104178.26,0.18,0.30,7969892.00
2026-05-05,9.94,18018529,179104178.26,0.18,0.00,0.00
2026-05-06,9.92,18018529,178743807.68,0.18,-0.20,2976.00
2026-05-07,9.94,18018529,179104178.26,0.18,0.20,62622.00
2026-05-08,9.94,18018529,179104178.26,0.18,0.00,20874.00
2026-05-11,9.94,18018529,179104178.26,0.18,0.00,595406.00
2026-05-12,9.94,18018529,179104178.26,0.18,0.00,607334.00
2026-05-13,9.95,18018529,179284363.55,0.18,0.10,26865.00
2026-05-14,9.95,18018529,179284363.55,0.18,0.00,19900.00
2026-05-15,9.95,18018529,179284363.55,0.18,0.00,0.00
2026-05-18,9.95,18018529,179284363.55,0.18,0.00,1045745.00
2026-05-19,9.96,18018529,179464548.84,0.18,0.10,53784.00
2026-05-20,9.94,18018529,179104178.26,0.18,-0.20,30814.00
2026-05-21,9.95,18018529,179284363.55,0.18,0.10,20895.00
2026-05-22,9.96,18018529,179464548.84,0.18,0.10,437244.00
2026-05-26,9.97,18018529,179644734.13,0.18,0.10,2098685.00
2026-05-27,9.95,18018529,179284363.55,0.18,-0.20,23880.00
2026-05-28,9.96,18018529,179464548.84,0.18,0.10,1992.00
2026-05-29,9.98,18018529,179824919.42,0.18,0.20,50898.00
2026-06-01,9.99,18018529,180005104.71,0.18,0.10,21535443.00
2026-06-02,9.99,18018529,180005104.71,0.18,0.00,5213781.00
2026-06-03,9.98,18018529,179824919.42,0.18,-0.10,1280434.00
