Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,4.51,165236244,745215460.44,0.75,,201597.00
2000-01-04,4.19,165236244,692339862.36,0.69,-7.10,540510.00
2000-01-05,4.29,165236244,708863486.76,0.71,2.39,41184.00
2000-01-06,4.32,165236244,713820574.08,0.71,0.70,54432.00
2000-01-07,4.29,165236244,708863486.76,0.71,-0.69,16087.50
2000-01-10,4.41,165236244,728691836.04,0.73,2.80,146853.00
2000-01-11,4.26,165236244,703906399.44,0.70,-3.40,184032.00
2000-01-12,4.19,165236244,692339862.36,0.69,-1.64,201748.50
2000-01-13,4.19,165236244,692339862.36,0.69,0.00,74163.00
2000-01-14,4.13,165236244,682425687.72,0.68,-1.43,20443.50
2000-01-18,4.26,165236244,703906399.44,0.70,3.15,277965.00
2000-01-19,4.19,165236244,692339862.36,0.69,-1.64,76048.50
2000-01-20,4.16,165236244,687382775.04,0.69,-0.72,122928.00
2000-01-21,4.22,165236244,697296949.68,0.70,1.44,227880.00
2000-01-24,4.57,165236244,755129635.08,0.76,8.29,348234.00
2000-01-25,5.21,165236244,860880831.24,0.86,14.00,153174.00
2000-01-26,5.21,165236244,860880831.24,0.86,0.00,202408.50
2000-01-27,5.11,165236244,844357206.84,0.84,-1.92,590205.00
2000-01-28,5.08,165236244,839400119.52,0.84,-0.59,553212.00
2000-01-31,5.15,165236244,850966656.60,0.85,1.38,146775.00
2000-02-01,5.18,165236244,855923743.92,0.86,0.58,1355865.00
2000-02-02,5.24,165236244,865837918.56,0.87,1.16,236586.00
2000-02-03,5.27,165236244,870795005.88,0.87,0.57,267189.00
2000-02-04,5.18,165236244,855923743.92,0.86,-1.71,3885.00
2000-02-07,5.30,165236244,875752093.20,0.88,2.32,706755.00
2000-02-08,5.65,165236244,933584778.60,0.93,6.60,847500.00
2000-02-09,5.62,165236244,928627691.28,0.93,-0.53,1308336.00
2000-02-10,5.91,165236244,976546202.04,0.98,5.16,910435.50
2000-02-11,6.10,165236244,1007941088.40,1.01,3.21,301950.00
2000-02-14,6.54,165236244,1080645035.76,1.08,7.21,394362.00
2000-02-15,6.38,165236244,1054207236.72,1.05,-2.45,202884.00
2000-02-16,6.45,165236244,1065773773.80,1.07,1.10,187695.00
2000-02-17,6.45,165236244,1065773773.80,1.07,0.00,321210.00
2000-02-18,6.16,165236244,1017855263.04,1.02,-4.50,216216.00
2000-02-22,6.67,165236244,1102125747.48,1.10,8.28,331165.50
2000-02-23,6.92,165236244,1143434808.48,1.14,3.75,982986.00
2000-02-24,7.18,165236244,1186396231.92,1.19,3.76,463110.00
2000-02-25,7.34,165236244,1212834030.96,1.21,2.23,590136.00
2000-02-28,7.18,165236244,1186396231.92,1.19,-2.18,325254.00
2000-02-29,7.15,165236244,1181439144.60,1.18,-0.42,126555.00
2000-03-01,7.43,165236244,1227705292.92,1.23,3.92,221785.50
2000-03-02,7.97,165236244,1316932864.68,1.32,7.27,286920.00
2000-03-03,8.45,165236244,1396246261.80,1.40,6.02,1200322.50
2000-03-06,8.45,165236244,1396246261.80,1.40,0.00,750360.00
2000-03-07,7.68,165236244,1269014353.92,1.27,-9.11,596736.00
2000-03-08,7.62,165236244,1259100179.28,1.26,-0.78,102870.00
2000-03-09,7.37,165236244,1217791118.28,1.22,-3.28,1574232.00
2000-03-10,7.88,165236244,1302061602.72,1.30,6.92,404244.00
2000-03-13,7.24,165236244,1196310406.56,1.20,-8.12,192222.00
2000-03-14,7.27,165236244,1201267493.88,1.20,0.41,223552.50
2000-03-15,6.99,165236244,1155001345.56,1.16,-3.85,292531.50
2000-03-16,6.61,165236244,1092211572.84,1.09,-5.44,196317.00
2000-03-17,6.61,165236244,1092211572.84,1.09,0.00,119971.50
2000-03-20,6.61,165236244,1092211572.84,1.09,0.00,236968.50
2000-03-21,6.80,165236244,1123606459.20,1.12,2.87,471240.00
2000-03-22,6.96,165236244,1150044258.24,1.15,2.35,43848.00
2000-03-23,6.99,165236244,1155001345.56,1.16,0.43,77589.00
2000-03-24,6.99,165236244,1155001345.56,1.16,0.00,239058.00
2000-03-27,7.11,165236244,1174829694.84,1.17,1.72,158908.50
2000-03-28,6.73,165236244,1112039922.12,1.11,-5.34,104988.00
2000-03-29,6.54,165236244,1080645035.76,1.08,-2.82,68670.00
2000-03-30,5.72,165236244,945151315.68,0.95,-12.54,161304.00
2000-03-31,5.91,165236244,976546202.04,0.98,3.32,272155.50
2000-04-03,6.03,165236244,996374551.32,1.00,2.03,139293.00
2000-04-04,5.78,165236244,955065490.32,0.96,-4.15,97104.00
2000-04-05,5.34,165236244,882361542.96,0.88,-7.61,821025.00
2000-04-06,5.53,165236244,913756429.32,0.91,3.56,636226.50
2000-04-07,5.59,165236244,923670603.96,0.92,1.08,86365.50
2000-04-10,5.59,165236244,923670603.96,0.92,0.00,254065.50
2000-04-11,5.59,165236244,923670603.96,0.92,0.00,5031.00
2000-04-12,5.59,165236244,923670603.96,0.92,0.00,657384.00
2000-04-13,5.46,165236244,902189892.24,0.90,-2.33,39312.00
2000-04-14,5.08,165236244,839400119.52,0.84,-6.96,359664.00
2000-04-17,5.08,165236244,839400119.52,0.84,0.00,166878.00
2000-04-18,5.13,165236244,847661931.72,0.85,0.98,83106.00
2000-04-19,5.08,165236244,839400119.52,0.84,-0.97,150114.00
2000-04-20,4.95,165236244,817919407.80,0.82,-2.56,34155.00
2000-04-24,4.83,165236244,798091058.52,0.80,-2.42,9418.50
2000-04-25,4.75,165236244,784872159.00,0.78,-1.66,17812.50
2000-04-26,4.68,165236244,773305621.92,0.77,-1.47,772200.00
2000-04-27,4.67,165236244,771653259.48,0.77,-0.21,116283.00
2000-04-28,4.64,165236244,766696172.16,0.77,-0.64,358440.00
2000-05-01,4.54,165236244,750172547.76,0.75,-2.16,87168.00
2000-05-02,4.64,165236244,766696172.16,0.77,2.20,712008.00
2000-05-03,4.45,165236244,735301285.80,0.74,-4.09,11347.50
2000-05-04,4.51,165236244,745215460.44,0.75,1.35,43972.50
2000-05-05,4.41,165236244,728691836.04,0.73,-2.22,691929.00
2000-05-08,4.45,165236244,735301285.80,0.74,0.91,32707.50
2000-05-09,4.38,165236244,723734748.72,0.72,-1.57,65700.00
2000-05-10,4.32,165236244,713820574.08,0.71,-1.37,45360.00
2000-05-11,4.19,165236244,692339862.36,0.69,-3.01,632271.00
2000-05-12,4.45,165236244,735301285.80,0.74,6.21,23362.50
2000-05-15,4.61,165236244,761739084.84,0.76,3.60,8989.50
2000-05-16,4.70,165236244,776610346.80,0.78,1.95,29610.00
2000-05-17,4.64,165236244,766696172.16,0.77,-1.28,11832.00
2000-05-18,4.67,165236244,771653259.48,0.77,0.65,1089978.00
2000-05-19,4.80,165236244,793133971.20,0.79,2.78,471600.00
2000-05-22,4.57,165236244,755129635.08,0.76,-4.79,64437.00
2000-05-23,4.61,165236244,761739084.84,0.76,0.88,46330.50
2000-05-24,4.76,165236244,786524521.44,0.79,3.25,2856.00
2000-05-25,4.64,165236244,766696172.16,0.77,-2.52,25752.00
2000-05-26,4.64,165236244,766696172.16,0.77,0.00,0.00
2000-05-30,4.64,165236244,766696172.16,0.77,0.00,0.00
2000-05-31,4.70,165236244,776610346.80,0.78,1.29,123375.00
2000-06-01,4.70,165236244,776610346.80,0.78,0.00,102930.00
2000-06-02,4.76,165236244,786524521.44,0.79,1.28,7854.00
2000-06-05,4.64,165236244,766696172.16,0.77,-2.52,150336.00
2000-06-06,4.61,165236244,761739084.84,0.76,-0.65,3457.50
2000-06-07,4.76,165236244,786524521.44,0.79,3.25,3570.00
2000-06-08,4.76,165236244,786524521.44,0.79,0.00,0.00
2000-06-09,4.61,165236244,761739084.84,0.76,-3.15,4840.50
2000-06-12,4.67,165236244,771653259.48,0.77,1.30,3502.50
2000-06-13,4.64,165236244,766696172.16,0.77,-0.64,87000.00
2000-06-14,4.64,165236244,766696172.16,0.77,0.00,0.00
2000-06-15,4.57,165236244,755129635.08,0.76,-1.51,14395.50
2000-06-16,4.57,165236244,755129635.08,0.76,0.00,0.00
2000-06-19,4.64,165236244,766696172.16,0.77,1.53,9048.00
2000-06-20,4.64,165236244,766696172.16,0.77,0.00,6960.00
2000-06-21,4.64,165236244,766696172.16,0.77,0.00,696.00
2000-06-22,4.61,165236244,761739084.84,0.76,-0.65,698415.00
2000-06-23,4.61,165236244,761739084.84,0.76,0.00,1437628.50
2000-06-26,4.61,165236244,761739084.84,0.76,0.00,0.00
2000-06-27,4.61,165236244,761739084.84,0.76,0.00,51171.00
2000-06-28,4.32,165236244,713820574.08,0.71,-6.29,139968.00
2000-06-29,4.54,165236244,750172547.76,0.75,5.09,6810.00
2000-06-30,4.48,165236244,740258373.12,0.74,-1.32,4704.00
2000-07-03,4.48,165236244,740258373.12,0.74,0.00,0.00
2000-07-05,4.64,165236244,766696172.16,0.77,3.57,125280.00
2000-07-06,4.64,165236244,766696172.16,0.77,0.00,13920.00
2000-07-07,4.48,165236244,740258373.12,0.74,-3.45,813120.00
2000-07-10,4.51,165236244,745215460.44,0.75,0.67,83886.00
2000-07-11,4.61,165236244,761739084.84,0.76,2.22,6915.00
2000-07-12,4.64,165236244,766696172.16,0.77,0.65,6960.00
2000-07-13,4.51,165236244,745215460.44,0.75,-2.80,10824.00
2000-07-14,4.51,165236244,745215460.44,0.75,0.00,21648.00
2000-07-17,4.41,165236244,728691836.04,0.73,-2.22,1323.00
2000-07-18,4.19,165236244,692339862.36,0.69,-4.99,16341.00
2000-07-19,4.13,165236244,682425687.72,0.68,-1.43,17965.50
2000-07-20,4.51,165236244,745215460.44,0.75,9.20,39237.00
2000-07-21,4.54,165236244,750172547.76,0.75,0.67,13620.00
2000-07-24,4.48,165236244,740258373.12,0.74,-1.32,55104.00
2000-07-25,4.48,165236244,740258373.12,0.74,0.00,0.00
2000-07-26,4.48,165236244,740258373.12,0.74,0.00,0.00
2000-07-27,4.26,165236244,703906399.44,0.70,-4.91,15975.00
2000-07-28,4.26,165236244,703906399.44,0.70,0.00,0.00
2000-07-31,4.26,165236244,703906399.44,0.70,0.00,0.00
2000-08-01,3.82,165236244,631202452.08,0.63,-10.33,46413.00
2000-08-02,3.75,165236244,619635915.00,0.62,-1.83,305437.50
2000-08-03,3.59,165236244,593198115.96,0.59,-4.27,362949.00
2000-08-04,3.65,165236244,603112290.60,0.60,1.67,251302.50
2000-08-07,3.53,165236244,583283941.32,0.58,-3.29,25416.00
2000-08-08,3.62,165236244,598155203.28,0.60,2.55,200910.00
2000-08-09,3.59,165236244,593198115.96,0.59,-0.83,538.50
2000-08-10,3.78,165236244,624593002.32,0.62,5.29,101493.00
2000-08-11,3.91,165236244,646073714.04,0.65,3.44,20527.50
2000-08-14,4.03,165236244,665902063.32,0.67,3.07,3022.50
2000-08-15,3.87,165236244,639464264.28,0.64,-3.97,74884.50
2000-08-16,3.81,165236244,629550089.64,0.63,-1.55,34290.00
2000-08-17,4.00,165236244,660944976.00,0.66,4.99,11400.00
2000-08-18,3.84,165236244,634507176.96,0.63,-4.00,47232.00
