Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2007-05-17,14.79,72299443,1069308761.97,1.07,,76615158.00
2007-05-18,15.07,72299443,1089552606.01,1.09,1.89,9278599.00
2007-05-21,15.07,72299443,1089552606.01,1.09,0.00,4762120.00
2007-05-22,14.96,72299443,1081599667.28,1.08,-0.73,1457104.00
2007-05-23,14.70,72299443,1062801812.10,1.06,-1.74,1797810.00
2007-05-24,14.71,72299443,1063524806.53,1.06,0.07,1809330.00
2007-05-25,14.71,72299443,1063524806.53,1.06,0.00,700196.00
2007-05-29,14.75,72299443,1066416784.25,1.07,0.27,728650.00
2007-05-30,14.60,72299443,1055571867.80,1.06,-1.02,265720.00
2007-05-31,14.72,72299443,1064247800.96,1.06,0.82,1616256.00
2007-06-01,15.80,72299443,1142331199.40,1.14,7.34,2068220.00
2007-06-04,14.82,72299443,1071477745.26,1.07,-6.20,788424.00
2007-06-05,15.01,72299443,1085214639.43,1.09,1.28,1242828.00
2007-06-06,14.76,72299443,1067139778.68,1.07,-1.67,1328400.00
2007-06-07,14.59,72299443,1054848873.37,1.05,-1.15,529617.00
2007-06-08,14.16,72299443,1023760112.88,1.02,-2.95,3576816.00
2007-06-11,14.48,72299443,1046895934.64,1.05,2.26,257744.00
2007-06-12,14.30,72299443,1033882034.90,1.03,-1.24,617760.00
2007-06-13,14.48,72299443,1046895934.64,1.05,1.26,716760.00
2007-06-14,14.56,72299443,1052679890.08,1.05,0.55,1214304.00
2007-06-15,14.59,72299443,1054848873.37,1.05,0.21,819958.00
2007-06-18,14.50,72299443,1048341923.50,1.05,-0.62,622050.00
2007-06-19,14.76,72299443,1067139778.68,1.07,1.79,395568.00
2007-06-20,15.32,72299443,1107627466.76,1.11,3.79,819620.00
2007-06-21,14.59,72299443,1054848873.37,1.05,-4.77,487306.00
2007-06-22,14.10,72299443,1019422146.30,1.02,-3.36,12299430.00
2007-06-25,13.87,72299443,1002793274.41,1.00,-1.63,2375931.00
2007-06-26,13.75,72299443,994117341.25,0.99,-0.87,1597750.00
2007-06-27,14.25,72299443,1030267062.75,1.03,3.64,444600.00
2007-06-28,13.31,72299443,962305586.33,0.96,-6.60,564344.00
2007-06-29,12.85,72299443,929047842.55,0.93,-3.46,1719330.00
2007-07-02,12.62,72299443,912418970.66,0.91,-1.79,998242.00
2007-07-03,12.35,72299443,892898121.05,0.89,-2.14,958360.00
2007-07-05,12.41,72299443,897236087.63,0.90,0.49,269297.00
2007-07-06,12.54,72299443,906635015.22,0.91,1.05,362406.00
2007-07-09,12.24,72299443,884945182.32,0.88,-2.39,222768.00
2007-07-10,11.67,72299443,843734499.81,0.84,-4.66,1380561.00
2007-07-11,13.48,72299443,974596491.64,0.97,15.51,3244636.00
2007-07-12,13.49,72299443,975319486.07,0.98,0.07,1068408.00
2007-07-13,13.66,72299443,987610391.38,0.99,1.26,204900.00
2007-07-16,13.53,72299443,978211463.79,0.98,-0.95,564201.00
2007-07-17,13.68,72299443,989056380.24,0.99,1.11,956232.00
2007-07-18,13.62,72299443,984718413.66,0.98,-0.44,258780.00
2007-07-19,13.52,72299443,977488469.36,0.98,-0.73,305552.00
2007-07-20,13.28,72299443,960136603.04,0.96,-1.78,459488.00
2007-07-23,12.83,72299443,927601853.69,0.93,-3.39,1168813.00
2007-07-24,12.63,72299443,913141965.09,0.91,-1.56,786849.00
2007-07-25,13.00,72299443,939892759.00,0.94,2.93,1262300.00
2007-07-26,13.17,72299443,952183664.31,0.95,1.31,421440.00
2007-07-27,12.51,72299443,904466031.93,0.90,-5.01,745596.00
2007-07-30,12.54,72299443,906635015.22,0.91,0.24,287166.00
2007-07-31,13.48,72299443,974596491.64,0.97,7.50,1140408.00
2007-08-01,13.29,72299443,960859597.47,0.96,-1.41,397371.00
2007-08-02,12.54,72299443,906635015.22,0.91,-5.64,936738.00
2007-08-03,12.50,72299443,903743037.50,0.90,-0.32,725000.00
2007-08-06,13.55,72299443,979657452.65,0.98,8.40,634140.00
2007-08-07,12.58,72299443,909526992.94,0.91,-7.16,430236.00
2007-08-08,12.75,72299443,921817898.25,0.92,1.35,1315800.00
2007-08-09,12.38,72299443,895067104.34,0.90,-2.90,490248.00
2007-08-10,12.79,72299443,924709875.97,0.92,3.31,405443.00
2007-08-13,12.17,72299443,879884221.31,0.88,-4.85,317637.00
2007-08-14,12.43,72299443,898682076.49,0.90,2.14,356741.00
2007-08-15,12.40,72299443,896513093.20,0.90,-0.24,1324320.00
2007-08-16,12.65,72299443,914587953.95,0.91,2.02,1325720.00
2007-08-17,12.56,72299443,908081004.08,0.91,-0.71,720944.00
2007-08-20,12.57,72299443,908803998.51,0.91,0.08,333105.00
2007-08-21,12.48,72299443,902297048.64,0.90,-0.72,197184.00
2007-08-22,12.56,72299443,908081004.08,0.91,0.64,150720.00
2007-08-23,12.54,72299443,906635015.22,0.91,-0.16,274626.00
2007-08-24,12.75,72299443,921817898.25,0.92,1.67,494700.00
2007-08-27,13.15,72299443,950737675.45,0.95,3.14,493125.00
2007-08-28,13.12,72299443,948568692.16,0.95,-0.23,473632.00
2007-08-29,13.46,72299443,973150502.78,0.97,2.59,327078.00
2007-08-30,13.15,72299443,950737675.45,0.95,-2.30,368200.00
2007-08-31,13.02,72299443,941338747.86,0.94,-0.99,282534.00
2007-09-04,13.81,72299443,998455307.83,1.00,6.07,342488.00
2007-09-05,13.60,72299443,983272424.80,0.98,-1.52,312800.00
2007-09-06,13.44,72299443,971704513.92,0.97,-1.18,1663872.00
2007-09-07,13.67,72299443,988333385.81,0.99,1.71,462046.00
2007-09-10,13.86,72299443,1002070279.98,1.00,1.39,371448.00
2007-09-11,14.30,72299443,1033882034.90,1.03,3.17,1643070.00
2007-09-12,14.70,72299443,1062801812.10,1.06,2.80,743820.00
2007-09-13,15.50,72299443,1120641366.50,1.12,5.44,3143400.00
2007-09-14,15.53,72299443,1122810349.79,1.12,0.19,956648.00
2007-09-17,15.21,72299443,1099674528.03,1.10,-2.06,619047.00
2007-09-18,15.93,72299443,1151730126.99,1.15,4.73,670653.00
2007-09-19,17.00,72299443,1229090531.00,1.23,6.72,1863200.00
2007-09-20,16.96,72299443,1226198553.28,1.23,-0.24,518976.00
2007-09-21,17.03,72299443,1231259514.29,1.23,0.41,1934608.00
2007-09-24,17.19,72299443,1242827425.17,1.24,0.94,1854801.00
2007-09-25,17.65,72299443,1276085168.95,1.28,2.68,566565.00
2007-09-26,18.05,72299443,1305004946.15,1.31,2.27,2508950.00
2007-09-27,18.23,72299443,1318018845.89,1.32,1.00,442989.00
2007-09-28,16.90,72299443,1221860586.70,1.22,-7.30,490100.00
2007-10-01,16.98,72299443,1227644542.14,1.23,0.47,1100304.00
2007-10-02,17.40,72299443,1258010308.20,1.26,2.47,577680.00
2007-10-03,17.41,72299443,1258733302.63,1.26,0.06,990629.00
2007-10-04,16.55,72299443,1196555781.65,1.20,-4.94,1484535.00
2007-10-05,15.96,72299443,1153899110.28,1.15,-3.56,1394904.00
2007-10-08,16.00,72299443,1156791088.00,1.16,0.25,5539200.00
2007-10-09,16.61,72299443,1200893748.23,1.20,3.81,382030.00
