Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,490.50,578718100,283861228050.00,283.86,,23185935.00
2016-01-05,465.50,578718100,269393275550.00,269.39,-5.10,23342963.00
2016-01-06,419.00,578718100,242482883900.00,242.48,-9.99,46989174.00
2016-01-07,436.00,578718100,252321091600.00,252.32,4.06,83667528.00
2016-01-08,419.00,578718100,242482883900.00,242.48,-3.90,23794172.00
2016-01-11,389.50,578718100,225410699950.00,225.41,-7.04,26501580.00
2016-01-12,395.00,578718100,228593649500.00,228.59,1.41,15013950.00
2016-01-13,365.00,578718100,211232106500.00,211.23,-7.59,15143120.00
2016-01-14,379.00,578718100,219334159900.00,219.33,3.84,20328802.00
2016-01-15,374.50,578718100,216729928450.00,216.73,-1.19,19908420.00
2016-01-19,365.50,578718100,211521465550.00,211.52,-2.40,19632467.00
2016-01-20,373.50,578718100,216151210350.00,216.15,2.19,22277781.00
2016-01-21,379.50,578718100,219623518950.00,219.62,1.61,22284240.00
2016-01-22,394.50,578718100,228304290450.00,228.30,3.95,16052994.00
2016-01-25,380.00,578718100,219912878000.00,219.91,-3.68,14234800.00
2016-01-26,376.50,578718100,217887364650.00,217.89,-0.92,14594646.00
2016-01-27,365.00,578718100,211232106500.00,211.23,-3.05,18335410.00
2016-01-28,349.00,578718100,201972616900.00,201.97,-4.38,14870192.00
2016-01-29,357.50,578718100,206891720750.00,206.89,2.44,38182430.00
2016-02-01,355.00,578718100,205444925500.00,205.44,-0.70,17037160.00
2016-02-02,343.50,578718100,198789667350.00,198.79,-3.24,13498176.00
2016-02-03,340.00,578718100,196764154000.00,196.76,-1.02,14460880.00
2016-02-04,337.00,578718100,195027999700.00,195.03,-0.88,23675598.00
2016-02-05,319.50,578718100,184900432950.00,184.90,-5.19,13739139.00
2016-02-08,299.00,578718100,173036711900.00,173.04,-6.42,13870012.00
2016-02-09,309.00,578718100,178823892900.00,178.82,3.34,13029912.00
2016-02-10,307.50,578718100,177955815750.00,177.96,-0.49,9125370.00
2016-02-11,310.00,578718100,179402611000.00,179.40,0.81,9071840.00
2016-02-12,307.50,578718100,177955815750.00,177.96,-0.81,8128455.00
2016-02-16,308.50,578718100,178534533850.00,178.53,0.33,9322870.00
2016-02-17,324.00,578718100,187504664400.00,187.50,5.02,11235024.00
2016-02-18,304.50,578718100,176219661450.00,176.22,-6.02,6675249.00
2016-02-19,306.00,578718100,177087738600.00,177.09,0.49,9488448.00
2016-02-22,309.50,578718100,179113251950.00,179.11,1.14,7385289.00
2016-02-23,298.50,578718100,172747352850.00,172.75,-3.55,5117484.00
2016-02-24,299.50,578718100,173326070950.00,173.33,0.34,6860347.00
2016-02-25,300.00,578718100,173615430000.00,173.62,0.17,5762400.00
2016-02-26,306.00,578718100,177087738600.00,177.09,2.00,12665340.00
2016-02-29,305.50,578718100,176798379550.00,176.80,-0.16,9425286.00
2016-03-01,311.00,578718100,179981329100.00,179.98,1.80,9908460.00
2016-03-02,312.00,578718100,180560047200.00,180.56,0.32,8181888.00
2016-03-03,328.00,578718100,189819536800.00,189.82,5.13,13105568.00
2016-03-04,352.00,578718100,203708771200.00,203.71,7.32,24575232.00
2016-03-07,360.50,578718100,208627875050.00,208.63,2.41,14673792.00
2016-03-08,324.00,578718100,187504664400.00,187.50,-10.12,12433824.00
2016-03-09,319.00,578718100,184611073900.00,184.61,-1.54,7278304.00
