Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,4.90,16217239,79464471.10,0.08,,0.00
2000-01-04,4.90,16217239,79464471.10,0.08,0.00,0.00
2000-01-05,5.20,16217239,84329642.80,0.08,6.12,572.00
2000-01-06,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-07,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-10,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-11,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-12,4.55,16217239,73788437.45,0.07,-12.50,1506.05
2000-01-13,5.39,16217239,87410918.21,0.09,18.46,1191.19
2000-01-14,5.39,16217239,87410918.21,0.09,0.00,0.00
2000-01-18,5.39,16217239,87410918.21,0.09,0.00,0.00
2000-01-19,5.39,16217239,87410918.21,0.09,0.00,0.00
2000-01-20,5.20,16217239,84329642.80,0.08,-3.53,1149.20
2000-01-21,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-24,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-25,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-26,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-27,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-28,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-01-31,5.20,16217239,84329642.80,0.08,0.00,0.00
2000-02-01,4.74,16217239,76869712.86,0.08,-8.85,36583.32
2000-02-02,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-03,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-04,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-07,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-08,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-09,4.74,16217239,76869712.86,0.08,0.00,0.00
2000-02-10,4.83,16217239,78329264.37,0.08,1.90,531.30
2000-02-11,4.83,16217239,78329264.37,0.08,0.00,0.00
2000-02-14,4.83,16217239,78329264.37,0.08,0.00,0.00
2000-02-15,4.83,16217239,78329264.37,0.08,0.00,20237.70
2000-02-16,4.83,16217239,78329264.37,0.08,0.00,0.00
